Class Index,Text
0,"a lot of actors start off with one or two shots , but in such a cold void of comedy they fail to create enough heat to begin the reaction ."
1,the young robert deniro .
1,khouri 's great talent manages to put the extreme intensity of a farce and a bloodthirsty family into a continuum .
1,fashion a fascinating entertainment .
1,cute animated cartoon .
0,in such a sloppy writing that you ca n't believe there 's anyone more important than a baker . . .
1,a film that alternates between a facetious comic parody and a pulp melodrama .
0,a tense moment
1,generous subversive works .
1,no stale formulaical connective plot that 's become a regular part of movies about the underworld of a criminal .
1,funny enough .
0,overgrown and arrogant
1,robert duvall .
1,wealth and sudden wisdom .
1,the acting and directing make it clear that washington is definitely in the beginning of a new career .
1,memory of her .
1,a respectable new toy .
0,the grating show
1,i hate tearing my eyes out of the picture so i can read the subtitles .
0,besides the fact that they have the worst film titles of all time
1,this genderbending comedy is really fun .
0,"with a couple of robots , take them to the cinema for a late show , and make a mystery science theatre 3 , a tribute to something that 's almost certainly going to be the worst . . . killer web movie of all time"
0,on concert stage
1,"the direction is fluid and unflashy , and thanks to harris , phifer and cam 'ron 's performance , it 's sealed ."
1,i 'd much like it if she went one step further .
0,for a story too hard to be done . . .
1,hawai 's t shirt .
1,a classic story that casts attractive and talented actors and uses an amazing landscape for the creation of a great spectacle .
1,his greatest pleasure .
0,in a way that 's too small for a masterpiece
0,a serious but . . .
0,"by the time you 've laughed a few times ( maybe twice ) , you 'll be completely forgotten about the film when you come back to the parking lot ."
0,in despair
1,"unpretentious , charming and quirky ."
0,"with nicks and steinberg , who combine their own creations with pure greed , they give it an old school try ."
1,excellent writing and great performance .
0,in the movie there 's not much convincing answer .
0,"a clumsy dialogue , heavy handed sentiment . . ."
0,"as a nice little thing that is sadly , too fond of its own cuteness . . ."
1,pack a tissue .
0,"in the middle of a low budget , a surprisingly bad make up job is revealed ."
1,a real conviction for his role .
1,"a young woman with great charm , kindness and diplomacy ."
1,"a 90 year old artist tries to share his feelings about life , loss , time , and art with us ."
0,for a fool 's sake
1,cinematography bon bon .
0,for a middle aged man it 's utterly unfunny and tedious to look at . . .
1,an energetic and interesting look at how similar obsessions affect the family .
0,enmity and irritation
0,on the brink of collapse
1,so many of his problems to be able to forgive his mistakes .
1,"this is an appropriate primer on the region 's recent history , which would be an excellent teaching tool for the tenth grade ."
1,wide awake .
0,in vain . . .
0,as an excuse for playing one dirty scene at a time .
1,effectiveness .
1,these facts point to how important family traditions and family ties are .
1,"a look at a 'wild ride ' that will erupt in the world of internet bullies with notebooks , cell phones , and sketchy business plans ."
0,on a supposed family friendly comedy with digital effects
0,of course and utterly absurd . . .
1,very tasteless rock 'n' roll !
0,"without a trace of suspense , surprise , and constant emotional conviction ."
1,realistic portrayal .
0,the more liman tries to squeeze out the story . . .
1,clever stunts .
1,show how important our talents are when we serve others .
0,de bei lika da
1,welcome relief !
1,digital film 's promise .
0,with one that can be easily expected to wait for the dollar per view . . .
0,in support of theatrical renderings of auschwitz i birkenau
1,extraordinary belief .
1,no movie i 've ever seen that would promote the weakness of a human heart .
1,a sometimes beautiful adaptation .
0,something interesting about that . . .
1,"caruso occasionally descends into a kind of tarantino delicacy , but in the end he ensures that the saltonian sea works as well as a good noir , holding it tight and nasty ."
0,a long and pompous
0,a derivative of hammily
1,"bold , bold ."
1,the best time .
0,after another disney rummaged in his archives for a quick sequel .
1,the last beautiful scene .
1,some films suck even in spite of their failings .
1,"food , talk , debate , laugh , kibbitz and fights ."
0,"on the other hand , the question is whether these ambitions justify the film 's theatrical simulation of the concentration camps of death at auschwitz ii ."
1,compelling .
1,infectiously !
1,the entire film takes 84 minutes .
0,the dog from the movie
1,"a remarkable series of sweeping images , which have revived the romance genre ."
0,about the so called films that would be better
1,an acceptable date movie .
1,imax short term .
0,for the hate !
1,"nice enough , full of attractive men ."
0,"without anyone involved , except dash , shows the slightest ability to act . . ."
0,a wildly uneven film
1,"a provocation , a provocation ."
0,"as a music video with a content of at least 90 minutes , and worse if you want to take a look at it"
1,colors and depth and quite an enjoyable moment .
1,"silly , scandalous , inventive ."
0,the ability to strike 15 years old when you have more than 100
0,"in a science fiction horror movie , the story is so sketchy that it seems to be only a prelude to a plot twist , and the film 's fragmentary narrative style makes it difficult to put together ."
1,2017 best and most unpredictable comedy .
0,a bad start that you want to run out screaming
0,in men in black ii are truly unmatched . . . it 's a sci fi movie like whiffle ball epic .
1,elvira 's fans ca n't even ask for more .
1,nice one .
0,a fucked up picture
0,a character drama that never comes to an appropriate conclusion
0,at this time a lost translation
1,talk about it while you 're still thinking about the movie .
1,enables shafer to navigate large and small spaces with considerable dexterity .
0,"the plot , composed of mostly flat and emotionless moments"
0,inane and terrible !
0,in a messy way
1,risk daring by studio standards .
0,"in fact , jason 's taking a seat in his own movie for special effects . . ."
0,the only thing to be afraid of 'wish dot com '
0,the whole mess !
1,a rocky road to reconciliation between siblings punctuated by flashes of warmth and mild humor .
1,"ozpetek avoids most pitfalls , which would be expected in such a potentially sudsy scenario ."
0,"a résumette full of credits , such as 'girl from bar number three '"
1,nice ride !
0,without much to add to the dark visions that have provided us with superb predecessors
0,like a snail 's pace
0,a very nasty movie .
1,not entirely convincing .
0,"despite the fact that it 's a real story , it sounds really ridiculous . . ."
0,everything we 've ever seen before
1,poignant and unrefined .
1,breathless wait .
1,a lot better .
0,a predictable tide
1,stunningly beautiful and hilarious .
1,smooth and professional .
0,like an ordinary subordinate
0,in terror
1,technically great movie .
1,a positive change in tone seems to have brought him back to life .
1,"pays a serious tribute to the turntable and the beating of jugglers , old schoolers and current inventors ."
0,in the dim
0,of malice and absurd . . .
0,because he 's still acting so weird
1,a kinetic life so crowded that even angry adults can find a trembling baby in it .
1,ridiculous and compulsively entertaining .
1,a 103 minute length .
1,the importance and respect of the term epic film .
0,the waiting room of the dentist
1,show your true feelings .
0,in an amazingly embarrassing situation .
0,without a confession it 's not an easy bio
0,"in spite of its name , a disproportionately small slice of london 's poor life seems surprisingly small ."
0,a fake story
1,this comic gem is delightful and derivative .
1,the rescue of wild animals .
0,a terrible digital photo
0,for an understanding of the difference between stupid fun and plain stupidity
1,classic structure .
0,unlike many romance in hollywood . . .
1,a path for daring indian filmmakers to cross into non ethnic markets .
1,a price to confess if you think 'gory chaos ' will be your best time .
0,"from the production of jerry bruckheimer and joel schumacher , which reflects the worst of their shallow style . . . wildly exaggerated , poorly motivated , and targeted at everyone 's taste ."
0,the carnage and . . .
0,deformed handheld blair witch video cameras
0,the second violin
0,"the folly of superficiality , which is itself"
0,self deprecation and its awkwardness as its greatest condemnation . . .
0,a boring norwegian bid that somehow earned a nomination for the oscars .
0,"of course esther kahn is an anomaly , which is sadly irritating ."
1,elegant exercise !
0,at the halfway point of the photo i started to hate him .
0,with such a simple setup that borders on anonymity
0,in an extremely terrible film
1,heavy grip .
0,in a way that looks smeared and blurry to distract us
1,beautiful byways !
0,"a gun , a glitchy shot martial arts , a disintegrating corpse of a computer , and a series of jagged camera moves ."
0,in breezy and dispiriting rhythms
0,such a mess
1,"a smooth , seamless stream ."
1,slick and made for the sake of street credibility !
1,"watch out , a nice performance from a quintet of actresses ."
1,valuable information .
1,thanks to lau .
0,with two guys who are desperate to become quentin tarantino . . .
0,without any new concept of plot .
0,in essence a collection of parts
0,"in the rest of this , it 's not good ."
1,an increase in that movie .
0,the worst of all
1,"hugh grant , who 's got some good charm ."
1,arrival early and stay overnight .
1,a pan american film with a moment of real insight into the heart of cities .
0,"after two hours , i 'd like to watch john malkovich again ."
1,"an artful , watery colour of blue , green and brown ."
1,"unorthodox little noir crime drama , including one of the strangest ."
1,considerable complacency .
1,the role of diane lane and richard gere .
0,on the bottom . . .
1,admittedly a little movie .
0,as ridiculous as that
1,stone 's combat skills are much better than steven seagal .
1,rich and rich .
1,the warm water under the red bridge celebrates the power of women in treatment .
1,the use of sensational real 19th century crimes as metaphors .
1,"the house cinema will make you want another one , and i 'm not talking about to keep you laughing and smiling ."
1,the film retains the ambiguity that makes it very interesting to watch .
0,in an ultra spicy dialogue
1,added depth and resonance .
1,sensational !
1,"an old fashioned nature movie , using words and images to instruct viewers and entertain them ."
0,"a beautiful , but tedious drama full of suspense"
0,a bit of a bad either .
0,at his most charming
1,"a strange , but pleasantly surprising debut in front of the camera ."
1,"a good , rousing , g rated family film aimed at children , but with a lot of entertainment value that adults should n't be allowed to squander in their seats ."
0,"like everything about a girl who ca n't swim , even her passages of sensitive observations feel hand in hand , familiar , but not at the same time ."
1,a good cast .
0,a nasty digital clip
1,"we can only admire the players he brings to the fore , gifted , no nonsense people , what they are , and what they have contributed to our shared history ."
0,a little choppy
0,like another stupid high school comedy about sexual gibberish and a date . . .
1,demand and receive excellent results .
1,xxx 's an explosion of adrenaline .
1,pure escapism .
1,the creation of a movie that is n't just about killing undead .
1,love and culture .
0,for the worse . . .
0,the horror
0,private mourning the tragedy
0,a bad presentation of action scenes
0,a terrible thing
0,a terrible shame
1,84 minutes .
0,around the world he 's not gaining much momentum
1,masterpiece !
1,"much of it was the casting of juliette binoche as sanda , who played the role with her pale , dark beauty and characteristic warmth ."
0,without a lot left .
1,good acting !
1,a lot of jaglom 's films have an honest impact .
0,of the rhythms of marivaux and the restrictions of the classic actress mira sorvin
0,at other levels less success
1,worth a look .
1,"smart , quick ."
0,in the middle of his scenes he seems unhappy .
1,men !
1,a couple of sequels .
0,"in a clunky television format to detail the history of the celebrated irish writer , poet and drinker . . ."
0,"by the way , i do n't know which half of the dragonfly is worse . . . the part where it does n't happen at all , or the one where it 's happening at all ."
1,great fun !
1,bound to be an appeal to women who are looking for a frenzied moment .
0,like dirty garbage that never gets a grade .
1,a good thing to do for cheap summer fun and plenty of laughs to keep an eye on it .
1,cute and nice .
1,"seagal today , who is more reminiscent of danny aiello ."
0,"though the theatre is fascinating , as well as history , is too crude to be particularly useful ."
1,"not all of this ambitious comic escapade is true , but coppola and sister sofia are real makers ."
0,a process of dehumanization and destruction of ego
0,the taboo subject matter
1,look at this .
0,a conclusion of utter incompetence
1,wilde 's puny whimsy is largely helping to overcome his weaknesses and interference from parker 's imagination .
1,you feel like you 're rooting for gai to avoid the fate of all the other carmen in front of you .
0,a cover up
0,with a weak budget
1,a deceptively casual ode .
0,with words such as 'horrible ' and ' terrible ' he walked away .
1,help chicago make a transition from stage to screen with great enthusiasm intact .
1,ellen pompeo will sit next to you on your way .
0,the big step back
1,real fans .
0,only a copy
1,a lot of money and excitement .
1,an inspiring interview and amazingly evocative film .
0,"of lynch , jeunet and von triera , who did n't find the spark in himself . . ."
1,the exhilaration of the company 's rapid growth is hard to resist .
0,the frozen tundra drama
1,the final reckoning .
0,of course too much
1,very much .
1,free !
1,interesting species .
0,in pursuit of escape
1,scherfiga 's successful career on television .
1,watching it makes you dizzy .
1,the beautiful acting and directing make it clear that he will be in charge of washington for the rest of his career .
0,in the distance
1,outrageous creative activity .
1,a perfectly pleasant and satisfying night .
0,of course it 's never going to happen
0,by opening a new wound
0,despite the fact that i suffered from fatigue
1,the story .
1,hoffman 's strong acting clinic .
1,the right things .
1,beautiful cinematography and natural acting .
1,conceptual films .
0,the subtext of the next one you ca n't refuse
0,a void of reason
0,"in most cases , the whole movie is confusing at some point , which makes ararat even more difficult than it should have been ."
1,exhilarating surreal and resonant .
1,"the chateau 's light hearted , which makes him so attractive ."
1,passion for material .
1,"maybe it 's a classic method of filmmaking , but it does n't matter if the movie is well made and this one ."
0,the film that is not enough distance from leroy . . .
1,rendering romance .
1,great as rachel .
0,a range of special effects ranging from chewy to cheesier cheesiest
0,"from valley of dolls , a man 's worst movie about women ."
0,after all i 've recycled more times than i 'd say . . .
1,awe in awe .
1,a joyous slap in the movie .
1,non stop chatter .
0,", with guerrillas and sabotage . . ."
0,a terrible scene of torture and self mutilation
1,a recent argentine film son of a bride reminded us that even good looking films can show true love .
1,"ub also punishes and celebrates the less obvious aspects of black culture as well as the more serious aspects of white culture , even as they point out that they are inseparable ."
0,"in a package packed with fascinating and timely content , it is a terrible generic ."
0,like an obscenely bad dark comedy . . .
1,"naomi watts 's great rachel , her thin figure and vulnerable figure accentuate her loneliness and solitude ."
1,great pleasure .
0,in a nutshell
1,best of all .
1,our most charming women 's cartoons .
1,a square that would make him a favourite among many cable channels for children and their families .
0,in less a movie than a terrible smell thing . . .
1,a special movie .
1,an amazing spider man .
0,'s gut wrenching violence
0,with a little more humanity . . .
0,of course not everything
1,"a slight , pale mr . broomfield gains an obvious sense of entertainment that he is constantly forcing people into situations where the lesser man is running for cover ."
0,like a slow police procedural . . .
0,in the first frame of bad ideas
1,amazing sweaty humor .
1,great fun .
0,the mother fury of volletta wallace
1,a complicated history .
0,a wooden dialogue on wood
0,in such a quiet way that there will be no monotony
1,be burns ' best movie since mcmullen brothers .
1,no need to miss .
1,dover kosashvili 's superb debut performance .
1,a great short story .
0,the search for excitement in fabricated high drama
0,a weak comedy !
0,for all families
0,in fact completely empty
0,a problem with the movie
0,for my big fat greece wedding to be like apartheid . . .
0,with half that interest !
0,"with my great greek wedding , which has never been popular . . ."
1,auto focus '' serves as a unique biopic and document of a man 's homosexuality at the time of playboy .
0,"at this point , only signs of a slow and protracted imagination death ."
1,an appealing character twist to forgive the old serious problem .
0,in most cases it takes as long as irrelevant as an intervention that will gradually change what time is that ?
0,with an energy that can only describe how terrible it is . . .
0,"in the meantime , wait ."
1,the best korean movie of 2002 .
1,the biggest historical canvas .
1,"solid shots , assured direction , and a complete lack of irony in today 's world ."
0,the comatose ballerinas
1,oh-so important !
0,on a path where allegorical twists are too obvious and sexual politics too pompous
0,mathematical equation
1,"a work full of humor , humour and intelligence capturing an interesting life ."
1,pass grade .
1,you 're going to love the film .
0,"like an idiot , irrelevant"
1,the plot and the evocative mood combine a strong sensual sexuality and a haunting sense of misery .
0,the heavy handed indictment of parental failings . . .
1,good performances everywhere .
0,like strange and distasteful
1,a movie that 's not just offensive .
1,casual fun .
0,a stinking mess
0,"on santa 's second clause , which is supposed to be a children 's film , it does n't really mean anything to kids ."
1,intimate camera work in this movie .
0,in your mind you want to be in a different movie with them .
0,on dishonesty . . .
0,like bestiality
0,"like a collection of not funny jokes , scattered moments of lazy humour . . ."
0,"in fact , it is more disturbing than worrying ."
1,cookies .
1,a fairly revealing look at his two main characters .
1,"a great drama , disney style ."
1,"he may be more polite than resourceful , but he 's doing his job ."
1,"great action , great acting , great dialogue , great pace , great cinematography ."
0,her husband 's bully
0,in gaghan 's book he invented all the clichencies of a suspenseful tale .
0,"in the light of the illuminated two daughters , the dark side of misogynists and unprovoked violence suffocate . . ."
1,"exhilarating , chilling and heartwarming ."
0,in a stale format
1,film a kaleidoscopic life on reefs .
0,"in the already short history , the story is about the survival of the invaders who sought an anti virus ."
1,nice and cute .
0,with a smaller number of gags breaking down tedium
0,overgrown and arrogant . . .
0,a deep misunderstanding
1,everything will be fine .
1,paranoid claustrophobic film in submarines with disturbing supernatural effects .
1,grand !
1,"good humour , which is found in movies like tremors ."
1,bet .
1,change audience .
1,move and significance .
1,heroin . . . heroin .
1,a great interest .
1,blessed two great lead roles .
1,the real star .
0,underwhelmed by the self indulgent scenario . . .
0,for idiots who do n't care what kind of sewage he 's shoveling into his mind 's gullet to make a living .
1,"the spirit , perception , conviction of the video medium ."
0,about the nurses who plot holes so big that they can lead the entire olympic swim team in the olympics
1,charming and good acting .
0,the wrong mixture
1,a genre of men 's clothes .
1,director claude chabrola became a master of groping .
1,riveting !
0,in excruciatingly unfunny and excruciatingly banal . . .
0,the war films
1,an inuit masterpiece .
1,oscar !
0,a clicheless scenario
0,a bad friend and a woman worse . . .
1,a lot more insight .
0,like an abc that bored you so easily
1,your wish .
1,liquid and mesmerizing .
1,"vivid , thoughtful , unapologetic raw coming of age , full of sex , drugs and rock 'n 'roll !"
1,"the film 's charm is admirable , which is why it is entertaining , despite the fact that it is a feature length sitcom filled with stereotypical family issues ."
0,the carriages
0,without his own charisma and ability to carry a film on his admittedly large shoulders . . .
0,in the book review
0,out of the theater
0,the abuse of husbands
0,with a fake backdrop and perfect pacing director . . .
1,a diverse and surprisingly eloquent cast of children from palestine and israel .
0,the suffering of the film
1,a man endowed with a deep humanist spirit .
0,"despite all the great touches , the dragon loses the fire midway and nearly flinches at its lame conclusion ."
1,another fun game of robert rodriguez !
1,"directed by england 's roger mitchell , who deftly transitions from a pleasing , relatively light commercial fare such as notting hill to a commercial fare with real thematic heft ."
0,the possibility of going to the video store before christmas
1,a strange triumphant .
0,overachiever of the highest level
1,a cartoon full of ideas and sarcastic humor .
1,filmgoers who want real characters and a compelling plot .
0,in the bookstores
1,worth the price .
0,a reality show . . . god damn it !
0,"despite the film 's sentimental and hypocritical lessons about sexism , its true colors are visible in various wet t shirts and showers ."
0,with the crying of the money
1,fascinating !
0,"in the worst part , where nothing happens . . ."
0,the future of max rothman is n't working .
1,quirky characters and interesting stories .
0,"like a hastily prepared talent competition in a summer camp , hastily written , rehearsed , random , and . . ."
1,the livelihoods of kahla 's art .
0,a disastrous escape
0,"in the end , you might end up drowning in the lake ."
1,a lot of joy .
1,worth the search .
0,at this point in the film it 's hopeless
0,about time bombs !
1,the balance between traditional and modern stories is balanced so that one will never overwhelm the other .
0,on the surface histrionic is not enough to offset thin descriptions and facial situations .
0,"from the depths of stupidity , incoherence , and sub sexual gibberish ."
0,the taste of your mouth
1,good show .
0,"with a familiar and predictable formula , four and five quarters of that could have come from an xerox machine , not franc ."
1,"a headline fresh thriller set among orthodox jews in the western bank , joseph cedar tries to find a compelling dramatic way to deal with a complex situation without compromising its complexity ."
0,a responsibility for a year 's worst film
0,"the horror , shamelessly manipulative and deceitful"
1,love the films .
0,in the dark of humanity
0,"of course the idea of making fun of sexual abuse is fun , but not to use it yourself . . ."
0,the noise of shouting insults on the screen
0,"before orwell 's dark , intelligent warning cry . . ."
1,a coming of age movie that avoids clichés and mocking humor of this genre and offers a new look at the old fashioned way .
1,an excellent film .
0,a waste of time for viewers
1,predecessor of the oscar sweepers .
1,he does n't have any pretense and delivers big time .
0,in a sentence you 'll find out how many times they can cram the word radical '' or '' suck '' into it .
1,enough for a good feeling .
1,unexpected insight .
1,allen 's witty romantic comedies .
1,a unique movie .
0,the doubts
0,in maudlin or
1,his wisdom and humor .
0,a romantic young movie that burns like acid .
0,"about a wan , twisted story"
1,the funniest moments of this wonderfully sweet comedy about humorous road police officers .
0,"in this romantic comedy , souvlaki asks how many souvlakans are there before the disease comes ."
1,another dazzle and delight .
1,a much bigger and more instructive story than when small green men come to earth to harvest .
1,the idea of being more than just another clone of the best man .
1,"an expertly assembled , highly polished and professional adaptation , which is equally chilling and frightening as the manhunt ."
0,in the absence of a story that would be even remotely interested in dramatic events
0,laziness and hubris of something he knows he has won . . .
0,"without a doubt , this is an idiotic movie that will pay off the debt that miramax owes benigni ."
1,laugh .
0,"in future lizards , the laws of laughter will be stricter ."
0,the philosophical voids
0,with unlikable characters and vague feelings
1,intelligence or invention .
0,"on hardwood it proves once again that drag is n't just for fun , but also for itself ."
0,a hopelessly young man
1,shakespeare 's depth and breadth .
1,unique style of leadership .
0,for a comic fight for a bit of a heart
0,like an endless cry for attention . . .
1,hip hop beats .
0,"like a literary conceit , not human flesh and blood . . ."
0,without any further explanation
1,the funniest .
0,"like a cold , distant , emotionally distant piece that should have been called"
1,the beginning of witty and sophisticated .
0,the bargain basement of european exports
1,the real difference in the film is debrauwer 's refusal to press any easy emotional buttons .
1,emphasis on all characters because they 're intelligently directed .
1,"matches the initial fears of young people , who are trying to cope with adulthood 's mysterious and cruel nature ."
1,lead a group of talented friends out of luck .
0,"in the interest of strangeness , in which human nature is ostentatious , it is abhorrent ."
1,a gentle and fascinating portrait .
1,"a joke , a conceit , it 's one of the rare pictures you 're rooting for ."
1,draws an audience into inexplicable pain and eccentricities associated with the concept of loss .
0,in bits and pieces from midnight shifts and 48 hours ( or shrek ) . . .
0,a lot of time he 's talking about other films and trying to be another movie that he does n't even have a sense of humor or heart .
0,"without sympathy , good humour , and a level of insight that made eyre 's first film a successful sleeper hit ."
1,a very unexpected way to handle it .
1,those who will forever devote themselves to black madness will have a bit of fun .
0,in an obscene way
0,devastatingly
0,without a point
0,like an ugly imitation of a poet . . .
1,an imaginative tickling of a funny bone .
1,one of his strengths .
1,masterpiece !
1,hispanic role in hispanic dream .
0,a stiff or simply evil
1,those lives count .
1,laughter of the audience .
1,beautiful stimulus !
0,without a point
0,a sense of isolation and disappointment
1,winner shot !
0,"from his music or comical antics , but from a perverse pleasure to watch disney as he cuts his way to the bottom of a tin ."
1,a sense of guilt and a miracle of miracles .
1,lewis .
0,for no other reason to be bothered to remember him
1,bogdanovich interprets history and shows davies as an extremely charming young woman with great charm and diplomatic heart .
0,of the father of the clichy
0,in a household full of misery and tension
0,"with sincere efforts and honest results , but the film is so bleak that we ca n't even watch it"
1,the best korean film of 2002 .
1,a great rock .
1,a man who watches people do nasty things to himself and others .
1,pie for holiday shopping .
0,like an indescribable and boring wannabe
0,a flurry of bullets that did n't seem to have struck
1,"something like a long , open letter rather than a traditional story structure ."
0,"like any other arnie musclefest , but it has a great deal of resonance with the real world . . ."
0,for hatred
1,mesmerizing .
1,people who liked the original 1989 would have preferred the new version .
1,too much energy .
1,success in viewing patients .
1,"tattoo borrows heavily on seven , as well as silence from the lambs , but it retains a degree of sophistication and a human scale character that draws viewers in ."
1,burns 's best movie since mcmullen brothers .
0,on the ground
1,time and tongue in cheek .
0,in documentary form
0,a pile of useless messengers
1,morton deserves a nomination for the oscar !
1,strange and unpredictable pieces about characters .
1,efficiency and love for a period .
1,a successful attempt to achieve what few sequels can do .
0,for no reason .
0,in addition to offensive
1,a story about a war in vietnam .
1,the water of our soul .
1,a little fun .
1,a heart full of heart .
1,"an adventurous ride for you and your mate , no matter how old they are ."
1,his immediate and obvious pleasure .
1,"a lot of laughs and , as a bonus , viewers do n't have to be afraid of vomiting , urine , excrement , semen , and other nasty substances that are so prevalent in modern comedies ."
1,"one of those rare films that do n't seem to have been written by anyone , but somehow manage to convince nearly all of them that he 's on the screen because of them ."
1,a decent documentary introduction .
1,a new way of seeing familiar issues such as racism and homophobia .
0,in a movie that goes too far and kills all credibility . . .
0,"a sublime satire , teddy bear 's picnic is among the most pitiful debuts of a distinguished screenwriter ."
0,for emotional transformation
1,a movie full of courage and a movie that 's not stupid .
0,with no high school graduates from the target group
1,a complex structure and a well researched drama .
1,embracing . . . welcome .
0,"in a movie made from celluloid , a test of your date 's intellectual and emotional pedigree , and a huge setback for the director i admire ."
1,a contemplation of faith and madness . . . frailty is a bloody thing .
0,the beautiful collection
1,other than the oscar based predecessor of the franchise .
1,nearly every child assumes that his family must look like an addams family .
0,with the name freddy molested the dog
0,a moody businessman
0,in vain and shamelessly forlorn than most third rate horror sequels . . .
1,"the film is full of humorous observations about the general absurdities of life , which we see in the eyes of strangers , but it is deftly avoiding many of the condescending stereotypes that are so prevalent in the film about mental illness ."
0,in most cases boring
1,"a fun mixture of period drama and meaningless farce , which will appeal to history lovers ."
0,of course you 're going to be bored by morvern callar 's character .
1,"the problems and the characters he reveals are universal and interconnected , and the film itself , together with its charming cast , is so relaxed , charming and gifted that i really liked him ."
1,love the film .
0,"from kline 's efforts to put a bit of dignity into this stupid story , nothing 's going to happen ."
0,like a shabby desert in his titular community
1,"a liberal dose of dark humor , gorgeous outdoor photos and a solid lead ."
0,"in a bad way , often poorly directed , and suffers from an unnecessary pre match sequence , in which some characters have a backup story ."
1,work smoothly .
1,a scary and impersonal performance .
0,"before paying the full ticket price for the film simone , consider renting a dvd instead ."
1,a place in the pantheon of the best swashbucklers .
1,a pleasingly disturbing ride .
1,good work like everyone else .
1,cunning and complex .
0,"about intimate , unguarded moments with people who live in unusual homes . . ."
1,today 's very valuable .
0,"of course it is commendable that the film deals with serious issues in comic terms , but at the barber 's not as funny as it should be ."
0,about the only thing we knew about
1,beautiful spectacle .
1,accentuating the situation .
0,without a quarter for anyone trying to weave a coherent narrative from its two and a half hour running time
1,an amazing cast .
1,hush . . . nice .
1,real funny bits .
0,in such pain .
0,the smell of us beauty . . .
0,"with heavy handed symbolism , dime store psychology and endless scenic shots , which make the 105th minute look twice as long . . ."
0,without a sense of humor or vitality
1,a cat mewling .
0,"like a fool , irrelevant and deep"
1,"an adventure in wonderland , a stalker thriller ."
1,part time .
1,film history as a single film .
1,"thanks to renowned indian film culture , where americans can finally enjoy its splendor ."
1,decorated oscar winner .
1,the underpaid professionals who deserve it and rarely get it .
1,a surprise to us that we care so much about this story .
0,at all time low
1,pleasure .
1,reaction to him .
1,such a clear conviction that it is difficult not to leave .
1,a colorful and vivid introduction .
